ZIPCODE,STATE,YEAR,share_wages,share_business,share_capital_gains,share_interest,share_dividends,share_unemployment,share_social_security,income_stability_index,income_diversity_index,shock_response_index
52323,IA,2022,0.6436523108062521,0.009389407399077926,0.012313055211964467,0.004216799730124818,0.007871359496232992,0.0,0.062296188013043964,0.02992782744183536,0.5308392011300415,0.11036421784507419
52324,IA,2022,0.7653836683054402,0.02218712586290343,0.01730476942541033,0.0041945810089071165,0.008159903541618904,0.0011293102716288391,0.034889743655059396,0.034007469896481325,0.48152982406557504,0.05177550152013521
52325,IA,2022,0.6711915034848988,0.016860272153999337,0.031695984069034185,0.0034848987719880518,0.0062064387653501495,0.0,0.041022236973116494,0.08193252880339433,0.5544820889915735,0.06039379439773877
52326,IA,2022,0.7671825493541311,0.012612722398245187,0.008469412624908603,0.0006702412868632708,0.002254447964903729,0.0,0.04100658055081648,0.010001512245690907,0.35525712097030315,0.029443920245172648
52327,IA,2022,0.5509092746609913,0.02409473815624424,0.027786530012900466,0.007972130241185179,0.016057213856406537,0.0011770930557454626,0.03614507969157784,0.04172047385868572,0.7209060006033758,0.05336691412118371
52328,IA,2022,0.6567599010626961,0.01650747406806339,0.03271187931995268,0.0084370447857499,0.02752549199800561,0.00045460322426114756,0.04205324234751239,0.08608480326785745,0.6899598469456634,0.03762489329139165
52329,IA,2022,0.6626135197780902,0.029296652353991717,0.01546528859672455,0.004673785005889729,0.00680168712239237,0.0,0.03811224683664551,0.074447722558896,0.5461095256120545,0.026679274372079967
52330,IA,2022,0.6194424258439585,0.012386866618220254,0.0325361696505252,0.009480081918477903,0.009975556583206712,0.0,0.03920856180220651,0.049518310304194395,0.6156741367584815,0.07663140095220639
52332,IA,2022,0.6990028939391861,0.01512803280712101,0.021409663836732453,0.0032642536791430646,0.009312723731672861,0.0025236246931190083,0.05332528699373208,0.07468111675938026,0.5649976215140221,0.01895760500125763
52333,IA,2022,0.5999850763629341,0.022517134749469443,0.08065128507877706,0.011934520347720743,0.024490127355685138,0.0006408385328309042,0.041961755985366056,0.08491026917800489,0.8748368287180843,0.14857811959021633
52334,IA,2022,0.7170116228479085,0.0034806389458636334,0.011809310709180185,0.0031698676114115232,0.0031698676114115232,0.0,0.021753993411647708,0.12777988134432872,0.2921022727449808,0.16441177309762475
52335,IA,2022,0.5525152736253737,0.024762771350578448,0.012283894449499545,0.004354608085272326,0.003639672429481347,0.0,0.06414922656960874,0.06712943193038856,0.63544870768398,-0.08735723161331442
52336,IA,2022,0.6078116639914393,0.023931949469942232,0.0330639968804128,0.005822020295453927,0.012433005958048807,0.0017865077853651459,0.03693627517661035,0.09408613431432318,0.6747213957326335,0.05400747631462708
52337,IA,2022,0.757493064083322,0.023059080365670625,0.004275253558921181,0.002046663937781416,0.0038659207713648974,0.0,0.0473461590940101,0.030193908401057158,0.4190102859692605,0.0026342831033504504
52338,IA,2022,0.658353609975668,0.01790357851570578,0.052623936851275775,0.008368789957452051,0.020358775569469318,0.000994398806721432,0.038064354322774815,0.057259200088719604,0.7175893290588942,0.016003984272628474
52339,IA,2022,0.6663476926630479,0.010658131362293974,0.018354754087541867,0.0037699427496659024,0.0044381382917292244,0.006228242398244543,0.036882744056359405,0.06949388307441015,0.4989965306678291,0.016913298894373943
52340,IA,2022,0.7856371318178116,0.02452836202530749,0.02392985015954414,0.0042214564733131,0.00921141634822766,0.0009243289761197307,0.02588829431201238,0.08367742969478556,0.48003398287324067,0.034938699091895314
52341,IA,2022,0.483904685039891,0.0091028168455035,0.023365660681917415,0.00924835606832405,0.018523173813524564,0.0,0.043450073431153334,0.07688389362401188,0.7195896109436278,0.12088519391362988
52342,IA,2022,0.6657900707464472,0.023987789534476,0.059732277293071796,0.004908937153228967,0.009704432481488357,0.004362353814739187,0.05221417816554256,0.037367166951296,0.7498560529890338,0.04103895325004491
52345,IA,2022,0.8065737547552174,0.01528780175631955,0.001599886230312511,0.0022398407224375155,0.002790912646211825,0.001279908984250009,0.03167774736018772,0.05465241869254664,0.31003687669419966,0.047414944806545574
52346,IA,2022,0.6296438244161684,0.0178598804231182,0.016888957023864275,0.00500792069088865,0.007946241504420257,0.0,0.0500792069088865,0.0978528702084493,0.571166553942642,0.01980566000205722
52347,IA,2022,0.6417787363613296,0.019094138543516874,0.05320138712678677,0.004757675716823141,0.010340015224562293,0.0037427048972342044,0.050262200795060476,0.029485555663446135,0.7263067887330578,0.031513535999586416
52349,IA,2022,0.6597943245449822,0.030071994656066765,0.03513965973659687,0.007549955054882524,0.01624621677566201,0.0025606346745396216,0.0559174989072976,0.05757831841943234,0.749352064847552,0.03927102744651121
